,trigram,chi-sq
0,"('i̇spirto', 'i̇spirtolu', 'i̇çkiler')",708778561338.3298
1,"('abant', 'i̇zzet', 'baysal')",361347714941.2416
2,"('gerçekleşmeyen', 'gerçekleşemeyecek', 'projeleriniz')",280572426427.89575
3,"('seçi̇mler', 'komi̇syonlarda', 'açik')",145691175151.14697
4,"('açiklamalar', 'sataşmalara', 'i̇li̇şki̇n')",142452344546.6589
5,"('şevket', 'bülend', 'yahni̇ci̇')",133666833988.9647
6,"('milletvekilliğinin', 'demokrasimizin', 'gelişmesinin')",118809317390.51646
7,"('uygunluk', 'bildiriminin', 'sunulduğuna')",89415731161.86383
8,"('investment', 'holding', 'company')",86880069841.08597
9,"('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')",82215481246.29457
10,"('born', 'investment', 'holding')",74850521702.21065
11,"('sovyet', 'sosyalist', 'cumhuriyetler')",69007607338.82033
12,"('oya', 'akgönenç', 'muği̇suddi̇n')",64634128876.53333
13,"('önlenemez', 'suçlu', 'milletvekilliğinin')",62824119635.29634
14,"('başkanveki̇li̇', 'hayretti̇n', 'özdemi̇r')",61831881594.34247
15,"('deği̇şi̇kli̇k', 'yapilmasi', 'hakkinda')",59750125185.13633
16,"('i̇kmal', 'nato', 'pol')",56233986262.73981
17,"('cafer', 'tufan', 'yazicioğlu')",53215160776.09652
18,"('maliki', 'ejder', 'arvas')",48820125781.58054
19,"('sonucunu', 'özetleyen', 'günlü')",48335291859.7963
20,"('vergilerde', 'çifte', 'vergilendirmeyi')",46671341237.853546
21,"('düğmelerine', 'basarak', 'salonda')",46573538139.83198
22,"('edi̇p', 'safder', 'gaydali')",45727277730.7297
23,"('ayşe', 'nazli', 'ilicak')",44856858259.617325
24,"('türki̇ye', 'cumhuri̇yeti̇', 'hükümeti̇')",40168075013.458206
25,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",38989391450.14253
26,"('üvey', 'evlat', 'muamelesi')",36085481517.39109
27,"('soruşturmasi', 'mecli̇s', 'araştirmasi')",33966700515.15771
28,"('işaretli', 'cetvelde', 'gösterildiği')",33041719688.87952
