,trigram,PMI
0,"('etkililik', 'ekonomiklik', 'ilkelerinden')",33.90458530085788
1,"('mesleğinde', 'münasebetlerin', 'tanzimi')",33.110912463962514
2,"('nükhet', 'hotar', 'göksel')",32.93008395411694
3,"('vahdet', 'si̇nan', 'yerli̇kaya')",32.89530652582437
4,"('maliki', 'ejder', 'arvas')",32.82878537713313
5,"('isteme', 'butonuna', 'sönmeye')",32.82616785560396
6,"('tüyü', 'bitmemiş', 'yetimin')",32.42980571788715
7,"('sorabilmeleri', 'şifrelerini', 'parmak')",32.21551750719183
8,"('kutusuna', 'oylamada', 'okunmayan')",31.768693784384507
9,"('mükerrerliklerin', 'önlenmesinin', 'gereksiz')",31.598809400242263
10,"('seçi̇mler', 'komi̇syonlarda', 'açik')",31.57853984780522
11,"('içdenetim', 'boyutunun', 'güçlendirilmiş')",31.574549791106467
12,"('yusuf', 'selahatti̇n', 'beyri̇bey')",31.568214023335017
13,"('mamulleri', 'alkollü', 'i̇çkiler')",31.487170734847176
14,"('şifrelerini', 'parmak', 'izlerini')",31.410472745821426
15,"('ayşe', 'gülsün', 'bilgehan')",31.268664002194235
16,"('yuvarlak', 'pul', 'mühürlü')",31.246923311558128
17,"('umuma', 'istirahat', 'eğlence')",31.192349840345724
18,"('edi̇p', 'safder', 'gaydali')",31.106163764173445
19,"('butonuna', 'sönmeye', 'başlayan')",30.57943942385362
20,"('köyü', 'tapulama', 'nakledilen')",30.458322103083393
21,"('i̇şbi̇rli̇ği̇', 'anlaşmasinin', 'onaylanmasinin')",30.3797842353535
22,"('üvey', 'evlat', 'muamelesi')",30.346858321050554
23,"('karaotlak', 'köyü', 'tapulama')",30.26256380265781
24,"('operasyonel', 'esnekliğinin', 'değişen')",30.182027133952104
25,"('zeynep', 'karahan', 'uslu')",30.177748341287028
26,"('tabi̇i̇', 'bi̇lgi̇', 'teknoloji̇')",30.107064738904853
27,"('1050', 'muhasebei', 'umumiye')",30.056997987450845
28,"('zeynep', 'damla', 'gürel')",30.012789592738073
29,"('birliğinin', 'etkililik', 'ekonomiklik')",29.99706621687485
30,"('branş', 'branş', 'branş')",29.75968552647325
31,"('dayanağa', 'belediyelere', 'genişleyen')",29.62554344248067
32,"('pul', 'mühürlü', 'zarf')",29.49846207855409
33,"('mühürlü', 'ad', 'defterine')",29.42272818287592
34,"('gerektirdiği', 'giderecek', 'esneklikler')",29.412035418694384
35,"('ilkesinin', 'gerçekleşmesini', 'güçleştirici')",29.383214429056164
36,"('uygunluk', 'bildiriminin', 'sunulduğuna')",29.371022644308667
37,"('adlar', 'i̇lave', 'ödemesi')",29.343189000657137
38,"('sözcüsü', 'remzi̇ye', 'öztoprak')",29.274497795185418
39,"('vergilerde', 'çifte', 'vergilendirmeyi')",29.271525585827778
40,"('ülkesi', 'ulusuyla', 'bölünmez')",29.265359663411058
41,"('yönlendirmeler', 'anayasaya', 'bezenmiş')",29.235773143239193
42,"('seydişehir', 'eti', 'alüminyum')",29.229160115150496
43,"('ergene', 'nehrindeki', 'kirliliğin')",29.226169011848096
44,"('deği̇şi̇kli̇k', 'yapilmasi', 'hakkinda')",29.20913683135629
45,"('hükümlerine', 'i̇stinaden', 'i̇şlemleri')",29.203011931287286
46,"('işaretli', 'cetvelde', 'gösterildiği')",29.15101241353996
47,"('çerçeveye', 'kavuşturulmakta', 'kuruluşlar')",29.142318268328815
48,"('tuz', 'gölündeki', 'kirlenmenin')",29.129204439822647
49,"('beraberindeki', 'heyete', 'denilmesi')",29.118713504282578
50,"('kahramanmaraş', 'sütçü', 'i̇mam')",29.069584763752317
51,"('değerinde', 'fesat', 'oluşturacak')",29.022985586239237
52,"('düğmelerine', 'basarak', 'salonda')",28.98555934626246
53,"('halfeti', 'i̇lçesinin', 'karaotlak')",28.96478008277663
54,"('tutulma', 'nedenlerle', 'engellenmemesi')",28.93497881199922
55,"('operasyonel', 'düzeyde', 'esneklikleri')",28.926144254525965
56,"('tevfi̇k', 'zi̇yaeddi̇n', 'akbulut')",28.874148826788726
57,"('i̇stinaden', 'i̇şlemleri', 'yapma')",28.870020941166064
58,"('tapulama', 'nakledilen', 'bölümü')",28.84826862139941
59,"('parlamentonun', 'olumsuzca', 'etkilenmesine')",28.83949647576161
60,"('pulunun', 'bulunduğu', 'kürsüsünün')",28.81845548756631
61,"('ülkesi', 'milletiyle', 'bölünmez')",28.816949981271417
62,"('ersümer', 'zeki', 'çakan')",28.78282953192252
63,"('nehrindeki', 'kirliliğin', 'çevreye')",28.709078091192342
64,"('bildiriminde', 'rüşvet', 'yolsuzluklarla')",28.688824547185124
65,"('makine', 'kimya', 'endüstrisi')",28.687024788078258
66,"('oluşmaya', 'parlamentonun', 'olumsuzca')",28.679031803568364
67,"('takibinin', 'güçleştiği', 'yolunda')",28.60495885398528
68,"('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')",28.571702958157253
69,"('temininde', 'güçlük', 'çekilen')",28.543361325553608
70,"('cumhuri̇yeti̇', 'hükümeti̇', 'arasinda')",28.53434661893528
71,"('406', 'telgraf', 'telefon')",28.517446877445607
72,"('i̇lerleme', 'raporundaki', 'bölümüne')",28.4730233187154
73,"('açiklamalar', 'sataşmalara', 'i̇li̇şki̇n')",28.47075579070404
74,"('çifte', 'vergilendirmeyi', 'önleme')",28.451741760317056
75,"('şiddet', 'düzensizliğin', 'önlenmesine')",28.426744737050893
76,"('alabilmelerinin', 'yolunun', 'mahalle')",28.40223894031155
77,"('i̇dri̇s', 'nai̇m', 'şahi̇n')",28.351526967878694
78,"('abdullah', 'veli̇', 'seyda')",28.331285717662304
79,"('ayhan', 'zeynep', 'teki̇n')",28.29586175180841
80,"('oluşturulan', 'rektörlüğe', 'bağlanan')",28.221095381712928
81,"('fehmi̇', 'hüsrev', 'kutlu')",28.06620680414411
82,"('sureti', 'ilişikte', '82')",28.057746781964774
83,"('performans', 'içdenetim', 'boyutunun')",28.043058498833346
84,"('rektörlüğüne', 'iken', 'değiştirilerek')",28.025311474700842
85,"('gülhane', 'askeri', 'akademisi')",28.00309638500501
86,"('etkinliği', 'idarelerin', 'operasyonel')",27.963954978355577
87,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",27.951454743935223
88,"('türki̇ye', 'cumhuri̇yeti̇', 'hükümeti̇')",27.937963422626655
89,"('polis', 'vazife', 'selahiyet')",27.92076271118572
90,"('oturum', 'başkanlarinin', 'konuşmalari')",27.908838628699158
91,"('abant', 'i̇zzet', 'baysal')",27.890832840644844
92,"('sorguya', 'tutulma', 'nedenlerle')",27.87583279789379
93,"('uyumlu', 'dengeli', 'yönlendirmeler')",27.867433318583487
94,"('meclislerine', 'mahalle', 'temsilciler')",27.82008656782708
95,"('gelmiş', 'işlevlerin', 'tasfiyesi')",27.81576557329133
