,Frequency,PMI,t-test,Chi-Sq Test
0,"('otomatik', 'cihaz')","('neci̇p', 'nasir')","('otomatik', 'cihaz')","('başkanlarinin', 'konuşmalari')"
1,"('büyük', 'millet')","('nevi̇n', 'taşliçay')","('büyük', 'millet')","('nuretti̇n', 'cani̇kli̇')"
2,"('türkiye', 'büyük')","('i̇şletmeleri̇', 'geli̇şti̇rme')","('türkiye', 'büyük')","('ölçekli̇', 'i̇şletmeleri̇')"
3,"('cihaz', 'başkan')","('ölçekli̇', 'i̇şletmeleri̇')","('cihaz', 'başkan')","('vehbi̇', 'bakirlioğlu')"
4,"('kabul', 'kabul')","('bi̇li̇msel', 'teknoloji̇k')","('kabul', 'kabul')","('vahi̇t', 'ki̇ler')"
5,"('i̇stanbul', 'milletvekili')","('vahi̇t', 'ki̇ler')","('millet', 'meclisi')","('tutukevleri̇', 'i̇şyurtlari')"
6,"('millet', 'meclisi')","('ci̇han', 'pektaş')","('ak', 'parti̇')","('tibbi̇', 'ci̇haz')"
7,"('ak', 'parti̇')","('si̇vi̇l', 'havacilik')","('i̇stanbul', 'milletvekili')","('si̇vi̇l', 'havacilik')"
8,"('yönetim', 'kesin')","('tacetti̇n', 'bayir')","('yönetim', 'kesin')","('semi̇ha', 'eki̇nci̇')"
9,"('bir', 'şekilde')","('tibbi̇', 'ci̇haz')","('i̇yi̇', 'parti̇')","('selami̇', 'altinok')"
10,"('böyle', 'bir')","('nusretti̇n', 'maçi̇n')","('grup', 'başkan')","('selahatti̇n', 'mi̇nsolmaz')"
11,"('i̇yi̇', 'parti̇')","('mesleki̇', 'yeterli̇li̇k')","('böyle', 'bir')","('feri̇dun', 'bahşi̇')"
12,"('grup', 'başkan')","('selahatti̇n', 'mi̇nsolmaz')","('teşekkür', 'ederim')","('nusretti̇n', 'maçi̇n')"
13,"('başkan', 'vekili')","('yediden', 'yetmişe')","('bir', 'şekilde')","('sali̇he', 'aydeni̇z')"
14,"('teşekkür', 'ederim')","('sali̇he', 'aydeni̇z')","('başkan', 'vekili')","('ni̇hat', 'yeşi̇l')"
