,trigram,chi-sq
0,"('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')",1438097704879.6697
1,"('har', 'vurup', 'harman')",541086961568.7304
2,"('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')",489352691256.95294
3,"('seli̇n', 'sayek', 'böke')",394317426480.736
4,"('mi̇hri̇mah', 'belma', 'satir')",285242520397.9487
5,"('zemzem', 'gülender', 'açanal')",265999732112.37497
6,"('bi̇li̇msel', 'teknoloji̇k', 'araştirma')",263879515373.4633
7,"('i̇zzet', 'ulvi̇', 'yönter')",251598218898.62918
8,"('tüyü', 'bitmemiş', 'yetimin')",238974804794.1676
9,"('i̇laç', 'tibbi̇', 'ci̇haz')",188785026898.614
10,"('abdul', 'ahat', 'andi̇can')",186101664396.41022
11,"('sahi̇l', 'güvenli̇k', 'komutanliği')",182445231205.579
12,"('şehadet', 'şerbetini', 'içen')",151934981877.04956
13,"('ekteki', 'cetveldeki', 'şekliyle')",133620864511.83932
14,"('vergilerde', 'çifte', 'vergilendirmeyi')",131537676673.06479
15,"('jale', 'nur', 'süllü')",123196322791.97316
16,"('güli̇zar', 'bi̇çer', 'karaca')",108198288939.50345
17,"('vedat', 'demiröz', '97')",105223325071.17934
18,"('tuba', 'vural', 'çokal')",103872687039.39859
19,"('di̇rayet', 'di̇lan', 'taşdemi̇r')",96057028609.30183
20,"('artos', 'çarparak', 'düşmesi')",95501792092.77904
21,"('erkeklik', 'hamaset', 'söylemleriyle')",93724977643.2081
22,"('pervi̇n', 'tuba', 'durgut')",93717104097.17294
23,"('muhasebe', 'deneti̇m', 'standartlari')",92680681993.67215
24,"('dirayet', 'dilan', 'taşdemir')",92552730243.47011
25,"('sali̇ha', 'sera', 'kadigi̇l')",91098733742.11205
26,"('yazili', 'sorular', 'cevaplari')",85867947551.49577
27,"('türkler', 'akraba', 'topluluklar')",78535130929.53938
28,"('müşerref', 'pervi̇n', 'tuba')",73710179841.55626
29,"('i̇şletmeleri̇', 'geli̇şti̇rme', 'destekleme')",70965634203.89972
30,"('sera', 'kadigi̇l', 'sütlü')",67140949833.61899
31,"('zeki̇', 'hakan', 'sidali')",65319122411.50395
32,"('türki̇ye', 'bi̇li̇msel', 'teknoloji̇k')",64799880991.49781
33,"('haşi̇m', 'teoman', 'sancar')",64112172976.426575
34,"('bölümler', 'görüşülecek', 'bölümlerde')",61582098202.22512
35,"('elementleri̇', 'araştirma', 'ensti̇tüsü')",57824856212.64543
36,"('gamze', 'akkuş', 'i̇lgezdi̇')",56933687142.146255
37,"('bariş', 'atay', 'mengüllüoğlu')",54764619997.59324
38,"('kami̇l', 'okyay', 'sindir')",53442551512.28952
39,"('çifte', 'vergilendirmeyi', 'önleme')",51086968721.56982
40,"('cumhuri̇yeti̇', 'hükümeti̇', 'arasinda')",50904209236.15165
41,"('tabi̇i̇', 'bi̇lgi̇', 'teknoloji̇')",45128242321.031525
42,"('tulay', 'hatimoğullari', 'oruç')",44533554810.96211
43,"('üvey', 'evlat', 'muamelesi')",43107192352.64771
44,"('radi̇ye', 'sezer', 'katircioğlu')",42939371297.44941
45,"('nurhayat', 'altaca', 'kayişoğlu')",42193569196.79368
46,"('i̇sti̇hbarat', 'teşki̇lati', 'başkanliği')",41304566683.23807
47,"('nadi̇r', 'toprak', 'elementleri̇')",40746101639.332436
48,"('ravza', 'kavakci', 'kan')",40147184653.32618
49,"('fi̇li̇z', 'keresteci̇oğlu', 'demi̇r')",39826504110.03102
50,"('meti̇n', 'nurullah', 'sazak')",39706125792.98296
51,"('hilmi', 'dülger', '55')",38774884027.77089
52,"('beki̇r', 'kuvvet', 'eri̇m')",38142341777.16628
53,"('zehra', 'zümrüt', 'selçuk')",37579334324.908745
54,"('birleşimini', 'teşekkül', 'etmediğinden')",37487205814.298065
55,"('nazir', 'ci̇hangi̇r', 'i̇slam')",37324673338.11814
56,"('kitle', 'i̇mha', 'önlenmesine')",35990329617.43467
57,"('tutanak', 'dergi̇si̇', 'birleşim')",33284273947.169483
58,"('koordi̇nasyon', 'ajansi', 'başkanliği')",32784219695.28397
59,"('bi̇lgi̇', 'teknoloji̇leri̇', 'i̇leti̇şi̇m')",32455040742.136593
60,"('kuvvetlerin', 'belirleyeceği', 'esaslara')",32402729408.525417
61,"('düşman', 'işgalinden', 'kurtuluşunun')",31053979653.987103
62,"('mecli̇si̇', 'tutanak', 'dergi̇si̇')",30502591092.011066
63,"('serpi̇l', 'kemalbay', 'pekgözegü')",30052373903.198128
64,"('abonelik', 'sözleşmesinden', 'kaynaklanan')",29443040913.293
65,"('ki̇şi̇sel', 'veri̇leri̇', 'koruma')",28761954098.797646
66,"('yelda', 'erol', 'gökcan')",28600585284.601337
67,"('emi̇ne', 'güli̇zar', 'emecan')",27791646680.99993
68,"('gülüstan', 'kiliç', 'koçyi̇ği̇t')",27162745501.346966
